cd_trans_type,label,stock,nonstock,domestic,foreign,benefit,type
ACAS,"AGENT ADDRESS CHANGE FOR STOCK CORPORATIONS (DOMESTIC, BENEFIT & FOREIGN)",TRUE,FALSE,TRUE,TRUE,TRUE,CORP
ACS,"AGENT CHANGE FOR STOCK CORPORATIONS (DOMESTIC,BENEFIT & FOREIGN)",TRUE,FALSE,TRUE,TRUE,TRUE,CORP
CINC,"INTERIM NOTICE FOR CORPORATIONS (DOMESTIC, BENEFIT & FOREIGN)",FALSE,FALSE,TRUE,TRUE,TRUE,CORP
COB,ORGANIZATION AND FIRST REPORT FOR BENEFIT CORPORATION,FALSE,FALSE,FALSE,FALSE,TRUE,BEN
CRS,ANNUAL REPORT FOR STOCK CORPORATION (DOMESTIC & BENEFIT),TRUE,FALSE,TRUE,FALSE,TRUE,CORP
ACAN,AGENT ADDRESS CHANGE FOR NON-STOCK CORPORATIONS (DOMESTIC & FOREIGN),FALSE,TRUE,TRUE,TRUE,FALSE,CORP
ACN,AGENT CHANGE FOR NON-STOCK CORPORATIONS (DOMESTIC & FOREIGN),FALSE,TRUE,TRUE,TRUE,FALSE,CORP
ASRN,RESIGNATION OF AGENT FOR NON-STOCK CORPORATIONS (DOMESTIC & FOREIGN),FALSE,TRUE,TRUE,TRUE,FALSE,CORP
ASRS,RESIGNATION OF AGENT FOR STOCK CORPORATIONS (DOMESTIC & FOREIGN),TRUE,FALSE,TRUE,TRUE,FALSE,CORP
BAN,BUSINESS AMENDMENT FOR BANK (NON-STOCK),FALSE,TRUE,FALSE,FALSE,FALSE,BANK
BAS,BUSINESS AMENDMENT FOR BANK (STOCK),TRUE,FALSE,FALSE,FALSE,FALSE,BANK
BCORP,BUSINESS FORMATION FOR BENEFIT CORPORATION,FALSE,FALSE,FALSE,FALSE,FALSE,BEN
BN,BUSINESS FORMATION FOR DOMESTIC BANK (NON-STOCK),FALSE,TRUE,TRUE,FALSE,FALSE,BANK
BS,BUSINESS FORMATION FOR DOMESTIC BANK (STOCK),TRUE,FALSE,TRUE,FALSE,FALSE,BANK
CAFN,BUSINESS AMENDMENT FOR NON-STOCK CORPORATION (FOREIGN) ,FALSE,TRUE,FALSE,TRUE,FALSE,CORP
CAFS,BUSINESS AMENDMENT FOR STOCK CORPORATION (FOREIGN) ,TRUE,FALSE,FALSE,TRUE,FALSE,CORP
CAN,BUSINESS AMENDMENT FOR NON-STOCK CORPORATION (DOMESTIC) ,FALSE,TRUE,TRUE,FALSE,FALSE,CORP
CAS,BUSINESS AMENDMENT FOR STOCK CORPORATION (DOMESTIC) ,TRUE,FALSE,TRUE,FALSE,FALSE,CORP
CASCN,BUSINESS AMENDMENT FOR NON-STOCK CORPORATION (FOREIGN),FALSE,TRUE,FALSE,TRUE,FALSE,CORP
CASCS,BUSINESS AMENDMENT FOR STOCK CORPORATION (FOREIGN) ,TRUE,FALSE,FALSE,TRUE,FALSE,CORP
CCORMS,CERTIFICATE OF CORRECTION IN MERGER FOR STOCK CORPORATIONS (DOMESTIC & FOREIGN),TRUE,FALSE,TRUE,TRUE,FALSE,CORP
CCORN,CERTIFICATE OF CORRECTION FOR NON-STOCK CORPORATIONS (DOMESTIC & FOREIGN),FALSE,TRUE,TRUE,TRUE,FALSE,CORP
CDRN,DISSOLUTION FOR NON-STOCK CORPORATION (DOMESTIC),FALSE,TRUE,TRUE,FALSE,FALSE,CORP
CDRNNR,DISSOLUTION FOR RELIGIOUS (NON-STOCK),FALSE,TRUE,FALSE,FALSE,FALSE,REL
CDRS,DISSOLUTION FOR STOCK CORPORATION (DOMESTIC),TRUE,FALSE,TRUE,FALSE,FALSE,CORP
CDRSNR,DISSOLUTION FOR RELIGIOUS (STOCK),TRUE,FALSE,FALSE,FALSE,FALSE,REL
CFAN,BUSINESS FORMATION FOR NON-STOCK CORPORATION (FOREIGN),FALSE,TRUE,FALSE,TRUE,FALSE,CORP
CFAS,BUSINESS FORMATION FOR STOCK CORPORATION (FOREIGN)`,TRUE,FALSE,FALSE,TRUE,FALSE,CORP
CFNR,REGISTRATION OF CORPORATE NAME FOR FOREIGN CORPORATIONS (STOCK & NON-STOCK),TRUE,TRUE,FALSE,TRUE,FALSE,CORP
CFNRR,RENEWAL OF REGISTRATION OF CORPORATE NAME FOR FOREIGN CORPORATIONS (STOCK & NON-STOCK),TRUE,TRUE,FALSE,TRUE,FALSE,CORP
CFRIS,CERTIFICATE OF RE-DOMESTICATION FOR STOCK INSURANCE CHANGE FROM FOREIGN TO DOMESTIC,TRUE,FALSE,TRUE,FALSE,FALSE,INS
CFRN,ANNUAL REPORT FOR FOREIGN NON-STOCK CORPORATION,FALSE,TRUE,FALSE,TRUE,FALSE,CORP
CFRO,CERTIFICATE OF RE-DOMESTICATION FOR STOCK INSURANCE CHANGE FROM DOMESTIC TO FOREIGN,TRUE,FALSE,FALSE,TRUE,FALSE,INS
CFRS,ANNUAL REPORT FOR FOREIGN STOCK CORPORATION,TRUE,FALSE,FALSE,TRUE,FALSE,CORP
CFRSX,CORRECTED REPORT FOR FOREIGN STOCK CORPORATION ,TRUE,FALSE,FALSE,TRUE,FALSE,CORP
CFWN,WITHDRAWAL FOR NON-STOCK CORPORATION (FOREIGN) ,FALSE,TRUE,FALSE,TRUE,FALSE,CORP
CFWS,WITHDRAWAL FOR STOCK CORPORATION (FOREIGN) ,TRUE,FALSE,FALSE,TRUE,FALSE,CORP
CICUN,BUSINESS FORMATION FOR DOMESTIC CREDIT UNION (NON-STOCK),FALSE,TRUE,TRUE,FALSE,FALSE,CU
CIN,BUSINESS FORMATION FOR NON-STOCK CORPORATION (DOMESTIC),FALSE,TRUE,TRUE,FALSE,FALSE,CORP
CIS,BUSINESS FORMATION FOR STOCK CORPORATION (DOMESTIC),TRUE,FALSE,TRUE,FALSE,FALSE,CORP
COCN,CORRECTED ORGANIZATION AND FIRST REPORT FOR DOMESTIC NON-STOCK CORPORATION,FALSE,TRUE,TRUE,FALSE,FALSE,CORP
COCS,CORRECTED ORGANIZATION AND FIRST REPORT FOR DOMESTIC STOCK CORPORATION,TRUE,FALSE,TRUE,FALSE,FALSE,CORP
CON,ORGANIZATION AND FIRST REPORT FOR NON-STOCK CORPORATION (DOMESTIC),FALSE,TRUE,TRUE,FALSE,FALSE,CORP
COS,ORGANIZATION AND FIRST REPORT FOR STOCK CORPORATION (DOMESTIC),TRUE,FALSE,TRUE,FALSE,FALSE,CORP
CRCA,BUSINESS AMENDMENT FOR RELIGIOUS (NON-STOCK),FALSE,TRUE,FALSE,FALSE,FALSE,REL
CRDN,REVOCATION OF DISSOLUTION  FOR NON-STOCK CORPORATION (DOMESTIC),FALSE,TRUE,TRUE,FALSE,FALSE,CORP
CRDS,REVOCATION OF DISSOLUTION  FOR STOCK CORPORATION (DOMESTIC),TRUE,FALSE,TRUE,FALSE,FALSE,CORP
CRLC,ANNUAL REPORT FOR LIMITED LIABILITY COMPANY (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLC
CRLCF,ANNUAL REPORT FOR LIMITED LIABILITY COMPANY (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LLC
CRLLP,ANNUAL REPORT FOR LIMITED LIABILITY PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLP
CRLLPF,ANNUAL REPORT FOR LIMITED LIABILITY PARTNERSHIP (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LLP
CRLP,ANNUAL REPORT FOR LIMITED PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LP
CRLPF,ANNUAL REPORT FOR LIMITED PARTNERSHIP (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LP
CRN,ANNUAL REPORT FOR NON-STOCK CORPORATION (DOMESTIC),FALSE,TRUE,TRUE,FALSE,FALSE,CORP
